D 2019-08-23 08:10:29.38 00:00:01.21 HA      900_226001567365 A2    5 12850
D 2019-08-23 08:10:31.21 00:00:01.30 HA      900_226001567365 A2    2     1
D 2019-08-23 08:10:33.11 00:00:00.21 HA      900_226001567365 A2    5     1
D 2019-08-23 08:10:34.23 00:00:00.30 HA      900_226001567365 A2    2     2
D 2019-08-23 08:10:35.13 00:00:00.00 HA      900_226001567365 A2    1     1
D 2019-08-23 08:10:37.56 00:00:00.00 HA      900_226001567365 A2    1     7
D 2019-08-23 08:10:38.77 00:00:00.00 HA      900_226001567365 A2    1     3
D 2019-08-23 08:10:39.67 00:00:01.83 HA      900_226001567365 A2    7     2
D 2019-08-23 09:37:50.49 00:00:00.00 HA      900_226001567284 A3    1 30988
D 2019-08-23 09:37:51.09 00:00:00.60 HA      900_226001567284 A3    3     1
D 2019-08-23 09:37:52.30 00:00:00.00 HA      900_226001567284 A3    1     1
D 2019-08-23 09:37:53.51 00:00:00.00 HA      900_226001567284 A3    1     3
D 2019-08-23 09:37:54.12 00:00:00.00 HA      900_226001567284 A3    1     1
D 2019-08-23 09:37:55.33 00:00:00.30 HA      900_226001567284 A3    2     3
D 2019-08-23 09:37:57.84 23:59:59.61 HA      900_226001567284 A3    3     3
D 2019-08-23 09:38:18.31 00:00:00.30 HA      900_226001567284 A3    2    68
D 2019-08-23 09:38:24.36 00:00:00.00 HA      900_226001567284 A3    1    18
D 2019-08-23 09:38:36.75 00:00:00.00 HA      900_226001567284 A3    1    40
D 2019-08-23 09:38:37.37 00:00:00.00 HA      900_226001567284 A3    1     1
D 2019-08-23 09:38:37.97 00:00:00.00 HA      900_226001567284 A3    1     1
D 2019-08-23 09:38:38.87 00:00:00.00 HA      900_226001567284 A3    1     2
D 2019-08-23 09:38:40.69 00:00:00.61 HA      900_226001567284 A3    3     5
D 2019-08-23 09:38:42.51 00:00:00.00 HA      900_226001567284 A3    1     3
D 2019-08-23 09:38:55.52 00:00:01.51 HA      900_226001567284 A3    6    42
D 2019-08-23 09:38:59.46 00:00:00.00 HA      900_226001567284 A3    1     7
D 2019-08-23 09:39:01.57 00:00:00.00 HA      900_226001567284 A3    1     6
D 2019-08-23 09:39:02.18 00:00:00.00 HA      900_226001567284 A3    1     1
D 2019-08-23 09:39:03.78 00:00:00.00 HA      900_226001567284 A3    1     1
D 2019-08-23 09:39:03.68 00:00:00.62 HA      900_226001567284 A3    3     2
D 2019-08-23 09:39:05.21 00:00:00.00 HA      900_226001567284 A3    1     2
D 2019-08-23 09:39:08.83 00:00:00.00 HA      900_226001567284 A3    1    11
D 2019-08-23 09:39:09.43 00:00:00.00 HA      900_226001567284 A3    1     1
D 2019-08-23 09:39:11.26 00:00:00.00 HA      900_226001567284 A3    1     5
D 2019-08-23 09:39:12.77 00:00:00.00 HA      900_226001567284 A3    1     4
D 2019-08-23 09:39:14.59 00:00:00.30 HA      900_226001567284 A3    2     5
D 2019-08-23 09:39:16.40 00:00:00.00 HA      900_226001567284 A3    1     4
D 2019-08-23 09:39:17.01 00:00:00.00 HA      900_226001567284 A3    1     1
D 2019-08-23 09:39:18.53 00:00:00.30 HA      900_226001567284 A3    2     4
D 2019-08-23 09:39:20.04 00:00:00.00 HA      900_226001567284 A3    1     3
D 2019-08-23 09:39:20.94 00:00:00.00 HA      900_226001567284 A3    1     2
D 2019-08-23 09:39:22.15 00:00:00.00 HA      900_226001567284 A3    1     3
D 2019-08-23 09:39:22.75 00:00:00.00 HA      900_226001567284 A3    1     1
D 2019-08-23 09:39:24.88 00:00:00.00 HA      900_226001567284 A3    1     6
D 2019-08-23 09:39:25.48 00:00:00.30 HA      900_226001567284 A3    2     1
D 2019-08-23 09:39:30.33 00:00:00.30 HA      900_226001567284 A3    2    14
D 2019-08-23 09:39:32.83 00:00:00.00 HA      900_226001567284 A3    1     3
D 2019-08-23 10:01:04.25 00:00:00.30 HA      900_226001567284 A3    2  4278
D 2019-08-23 10:01:06.06 00:00:00.00 HA      900_226001567284 A3    1     4
D 2019-08-23 10:01:06.66 00:00:00.00 HA      900_226001567284 A3    1     1
D 2019-08-23 10:01:07.88 00:00:00.00 HA      900_226001567284 A3    1     3
D 2019-08-23 10:01:09.09 00:00:00.60 HA      900_226001567284 A3    3     3
D 2019-08-23 10:01:12.72 00:00:00.00 HA      900_226001567284 A3    1     9
D 2019-08-23 10:01:13.32 00:00:00.00 HA      900_226001567284 A3    1     1
D 2019-08-23 10:01:14.84 00:00:00.31 HA      900_226001567284 A3    2     4
D 2019-08-23 10:01:16.35 00:00:00.60 HA      900_226001567284 A3    3     3
D 2019-08-23 10:01:18.77 00:00:00.00 HA      900_226001567284 A3    1     5
D 2019-08-23 10:01:19.38 00:00:00.00 HA      900_226001567284 A3    1     1
