Lake,Full PIT,PIT,Length,Sex,Section,
Halsteds,9.82E+14,777336,406,M,SW shore,
,,,,,,
Halsteds,9.82E+14,777360,582,M,SW shore,
,,,,,,
Halsteds,9.82E+14,777364,677,F,SW shore,
,,,,,,
Halsteds,9.82E+14,777339,715,M,Middleweedbed,radio tagged
,,,,,,
Halsteds,9.82E+14,777327,738,F,Middleweedbed,
,,,,,,
Halsteds,9.82E+14,777484,720,M,Middleweedbed,
,,,,,,
Halsteds,9.82E+14,777368,755,F,Middleweedbed,
,,,,,,
Halsteds,9.82E+14,777262,715,M,Middleweedbed,
,,,,,,
Halsteds,9.82E+14,777292,728,M,Middleweedbed,
,,,,,,
Halsteds,9.82E+14,777316,376,U,Millfoilbed,
,,,,,,
Halsteds,9.82E+14,777317,738,M,Millfoilbed,
,,,,,,
Halsteds,9.82E+14,777441,742,M,N Shore,
,,,,,,
Halsteds,9.82E+14,777428,747,U,N Shore,
,,,,,,
Halsteds,9.82E+14,777272,397,F,N Shore,
,,,,,,
Halsteds,9.82E+14,777351,697,,N Shore,
,,,,,,
Halsteds,9.82E+14,777477,650,M,N Shore,
,,,,,,
Halsteds,9.82E+14,777387,641,M,N Shore,
,,,,,,
Halsteds,9.82E+14,777458,355,M,N Shore,
,,,,,,
Halsteds,9.82E+14,777252,695,M,N Shore,
,,,,,,
Halsteds,9.82E+14,777405,560,M,N Shore,
,,,,,,
Halsteds,9.82E+14,777341,571,M,N Shore,
,,,,,,
Halsteds,9.82E+14,777304,629,M,N Shore,
,,,,,,
Halsteds,9.82E+14,777472,693,M,N Shore,
,,,,,,
Halsteds,9.82E+14,777397,681,M,N Shore,
,,,,,,
Halsteds,9.82E+14,777260,629,M,N Shore,
,,,,,,
Halsteds,9.82E+14,777439,385,F,N Shore,
,,,,,,
Halsteds,9.82E+14,777086,561,,N Shore,RECAP?
,,,,,,
Parley,9.00E+14,497688,388,F,DC,43656
,,,,,,
Parley,9.00E+14,38364,380,M,DC,
,,,,,,
Parley,9.00E+14,497605,375,M,DC,
,,,,,,
Parley,9.82E+14,775221,550,M,DC,
,,,,,,
Parley,9.00E+14,497780,660,,DC,Recapture
,,,,,,
Parley,9.00E+14,38396,680,F,DC,
,,,,,,
Parley,9.00E+14,38326,685,M,DC,
,,,,,,
Parley,9.00E+14,38358,655,M,DC,
,,,,,,
Parley,9.00E+14,497717,,,DC,Recapture
,,,,,,
Parley,9.00E+14,38352,355,F,DC,
,,,,,,
Parley,9.00E+14,38347,708,M,DC,
,,,,,,
Parley,9.00E+14,38392,690,F,DC,
,,,,,,
Parley,9.00E+14,38354,662,F,DC,
,,,,,,
Parley,9.00E+14,38317,680,M,DC,
,,,,,,
Parley,9.00E+14,38341,575,M,DC,
,,,,,,
Parley,9.00E+14,38348,350,M,DC,
,,,,,,
Parley,9.00E+14,38366,638,M,DC,
,,,,,,
Parley,9.00E+14,38389,350,F,DC,
,,,,,,
Parley,9.00E+14,38305,685,M,DC,
,,,,,,
Parley,9.00E+14,38319,670,M,DC,Radio Tag
,,,,,,
Parley,9.00E+14,38399,660,M,DC,
,,,,,,
Parley,9.00E+14,38357,340,M,DC,
,,,,,,
Parley,9.00E+14,38309,740,F,DC,
,,,,,,
Parley,9.00E+14,38327,660,M,DC,
,,,,,,
Parley,9.00E+14,38379,748,M,DC,
,,,,,,
Parley,9.00E+14,38368,675,F,DC,
,,,,,,
Parley,9.00E+14,38370,716,M,DC,
,,,,,,
Parley,9.00E+14,38383,375,F,DC,
,,,,,,
Parley,9.00E+14,38306,370,M,DC,
,,,,,,
Parley,9.00E+14,38333,555,F,DC,
,,,,,,
Parley,9.00E+14,38314,335,M,DC,
,,,,,,
Parley,9.00E+14,38374,685,M,DC,
,,,,,,
Parley,9.00E+14,38329,550,M,DC,
,,,,,,
Parley,9.00E+14,38355,725,M,DC,
,,,,,,
Parley,9.00E+14,38316,655,M,DC,
,,,,,,
Parley,9.00E+14,38338,675,M,DC,
,,,,,,
Parley,9.00E+14,38397,720,M,DC,
,,,,,,
Parley,9.00E+14,38332,645,M,DC,
,,,,,,
Parley,9.00E+14,38339,735,F,DC,
,,,,,,
Parley,9.00E+14,38384,715,F,DC,
,,,,,,
Parley,9.00E+14,38342,735,F,DC,
,,,,,,
Parley,9.00E+14,38345,730,F,DC,
,,,,,,
Parley,9.00E+14,38385,555,F,DC,
,,,,,,
Parley,9.00E+14,38312,735,F,DC,
,,,,,,
Parley,9.00E+14,38371,590,M,DC,
,,,,,,
Parley,9.00E+14,38356,650,F,DC,
,,,,,,
Parley,9.00E+14,38378,725,M,DC,
,,,,,,
Parley,9.00E+14,38321,415,M,DC,
,,,,,,
Parley,9.00E+14,38367,650,F,DC,
,,,,,,
Parley,9.00E+14,38315,725,F,DC,
,,,,,,
Parley,9.00E+14,38372,575,M,DC,
,,,,,,
Parley,9.00E+14,38322,635,F,DC,
,,,,,,
Parley,9.00E+14,38315,615,F,DC,
,,,,,,
Parley,9.00E+14,38650,675,M,DC,
,,,,,,
Parley,9.00E+14,38398,750,M,DC,
,,,,,,
Halsteds,9.00E+14,567001,602,M,1,
,,,,,,
Halsteds,9.00E+14,567081,672,M,1,
,,,,,,
Halsteds,9.00E+14,567179,725,F,1,
,,,,,,
Halsteds,9.00E+14,567026,382,U,1,
,,,,,,
Halsteds,9.00E+14,567230,745,M,1,
,,,,,,
Halsteds,9.00E+14,567087,666,M,1,
,,,,,,
Halsteds,9.00E+14,567121,683,M,1,
,,,,,,
Halsteds,9.00E+14,567205,665,M,1,
,,,,,,
Halsteds,9.00E+14,567113,690,M,1,
,,,,,,
Halsteds,9.00E+14,567016,800,F,1,
,,,,,,
Halsteds,9.00E+14,567200,770,F,1,
,,,,,,
Halsteds,9.00E+14,567213,390,F,2,43657
,,,,,,
Halsteds,9.00E+14,567211,395,M,2,
,,,,,,
Halsteds,9.00E+14,567240,360,F,2,
,,,,,,
Halsteds,9.00E+14,567014,425,F,2,
,,,,,,
Halsteds,9.00E+14,567192,672,M,3,
,,,,,,
Halsteds,9.00E+14,567086,570,M,3,
,,,,,,
Halsteds,9.00E+14,567059,405,M,3,
,,,,,,
Halsteds,9.00E+14,567197,437,F,3,
,,,,,,
